,total_points,predicted_points,difference,FPL_Name
306.0,86,84.83,1.1700000000000017,Emerson Leite de Souza Junior
110.0,68,66.82,1.1800000000000068,Joseph Gomez
8.0,159,157.79,1.210000000000008,Pascal Groß
180.0,12,10.74,1.2599999999999998,Mateusz Klich
532.0,4,2.67,1.33,Djed Spence
551.0,5,3.61,1.3900000000000001,David Brooks
416.0,5,3.59,1.4100000000000001,Chem Campbell
560.0,13,11.57,1.4299999999999997,Denis Zakaria
516.0,22,20.56,1.4400000000000013,Stefan Bajcetic
461.0,6,4.54,1.46,Jack Stacey
346.0,140,138.54,1.460000000000008,Alexis Mac Allister
56.0,103,101.51,1.4899999999999949,Christian Eriksen
140.0,38,36.44,1.5600000000000023,Ainsley Maitland-Niles
117.0,5,3.43,1.5699999999999998,Sergi Canós Tenés
250.0,42,40.43,1.5700000000000003,Reiss Nelson
402.0,4,2.42,1.58,Mads Bech Sørensen
144.0,51,49.37,1.6300000000000026,Lewis Cook
260.0,96,94.28,1.7199999999999989,Dejan Kulusevski
220.0,4,2.21,1.79,Shane Duffy
217.0,6,4.19,1.8099999999999996,Jairo Riedewald
255.0,49,47.13,1.8699999999999974,Trevoh Chalobah
281.0,62,60.13,1.8699999999999974,Mohamed Elyounoussi
393.0,23,21.11,1.8900000000000006,Anthony Elanga
153.0,77,75.11,1.8900000000000006,Raphaël Varane
439.0,9,7.08,1.92,Ben Pearson
545.0,40,38.06,1.9399999999999977,Benoît Badiashile
251.0,71,69.03,1.9699999999999989,Romain Perraud
358.0,90,88.02,1.980000000000004,Illan Meslier
597.0,14,12.0,2.0,Paul Onuachu
533.0,9,6.97,2.0300000000000002,Bryan Gil Salvatierra
353.0,28,25.97,2.030000000000001,Luke Thomas
212.0,44,41.96,2.039999999999999,Boubacar Kamara
1.0,139,136.95,2.0500000000000114,Fabian Schär
442.0,51,48.94,2.0600000000000023,Rasmus Kristensen
579.0,15,12.91,2.09,Georginio Rutter
88.0,7,4.9,2.0999999999999996,Salomón Rondón
252.0,33,30.89,2.1099999999999994,Yerry Mina
417.0,6,3.88,2.12,Cameron Archer
343.0,92,89.81,2.1899999999999977,Daniel Castelo Podence
216.0,54,51.8,2.200000000000003,Richarlison de Andrade
287.0,65,62.72,2.280000000000001,Marc Cucurella Saseta
307.0,62,59.71,2.289999999999999,Harvey Elliott
258.0,41,38.7,2.299999999999997,Rayan Aït-Nouri
351.0,19,16.7,2.3000000000000007,Cole Palmer
245.0,29,26.7,2.3000000000000007,Ben Johnson
569.0,7,4.68,2.3200000000000003,Naouirou Ahamada
39.0,33,30.61,2.3900000000000006,Jesse Lingard
554.0,28,25.54,2.460000000000001,Matías Viña
133.0,16,13.41,2.59,Adam Forshaw
253.0,11,8.39,2.6099999999999994,Martin Dubravka
45.0,69,66.36,2.6400000000000006,Jordan Henderson
15.0,7,4.34,2.66,Matt Ritchie
611.0,23,20.3,2.6999999999999993,Stefan Ortega Moreno
78.0,14,11.3,2.6999999999999993,Jack Colback
31.0,44,41.19,2.8100000000000023,Angelo Ogbonna
463.0,69,66.16,2.8400000000000034,Marcos Senesi
501.0,9,6.09,2.91,Asmir Begović
440.0,57,54.08,2.9200000000000017,Kieffer Moore
362.0,14,11.06,2.9399999999999995,Kalvin Phillips
592.0,11,8.05,2.9499999999999993,André Ayew
120.0,162,159.0,3.0,Alisson Ramses Becker
79.0,16,12.99,3.01,Jonjo Shelvey
423.0,16,12.98,3.0199999999999996,Jeremy Sarmiento Morante
482.0,67,63.97,3.030000000000001,Thilo Kehrer
359.0,59,55.96,3.039999999999999,Luke Ayling
129.0,130,126.86,3.1400000000000006,Dominic Solanke
542.0,14,10.86,3.1400000000000006,Boubacar Traoré
41.0,63,59.85,3.1499999999999986,Seamus Coleman
277.0,24,20.84,3.16,Edouard Mendy
485.0,80,76.8,3.200000000000003,Matheus Luiz Nunes
600.0,15,11.7,3.3000000000000007,Arnaut Danjuma
522.0,30,26.69,3.3099999999999987,Elliot Anderson
193.0,41,37.68,3.3200000000000003,Wilfred Ndidi
464.0,138,134.61,3.3899999999999864,Kaoru Mitoma
453.0,62,58.61,3.3900000000000006,Tyrell Malacia
327.0,21,17.59,3.41,Billy Gilmour
599.0,14,10.58,3.42,Pape Matar Sarr
407.0,23,19.52,3.4800000000000004,Albert Sambi Lokonga
527.0,56,52.51,3.490000000000002,Renan Augusto Lodi dos Santos
101.0,56,52.45,3.549999999999997,Kyle Walker-Peters
391.0,27,23.42,3.5799999999999983,Fábio Freitas Gouveia Carvalho
17.0,157,153.4,3.5999999999999943,Callum Wilson
154.0,53,49.37,3.6300000000000026,Mateo Kovacic
135.0,76,72.35,3.6500000000000057,Abdoulaye Doucouré
431.0,62,58.32,3.6799999999999997,Luis Díaz
495.0,33,29.32,3.6799999999999997,Mikkel Damsgaard
147.0,50,46.29,3.710000000000001,Lucas Digne
175.0,41,37.28,3.719999999999999,Neal Maupay
395.0,166,162.27,3.7299999999999898,David Raya Martin
315.0,94,90.27,3.730000000000004,Che Adams
3.0,66,62.23,3.770000000000003,Allan Saint-Maximin
127.0,143,139.13,3.8700000000000045,Ben Mee
114.0,130,126.12,3.8799999999999955,Tyrone Mings
27.0,13,9.07,3.9299999999999997,Calum Chambers
233.0,28,24.01,3.9899999999999984,Davinson Sánchez
492.0,33,28.97,4.030000000000001,Joe Rothwell
106.0,20,15.87,4.130000000000001,Alex Oxlade-Chamberlain
446.0,30,25.83,4.170000000000002,Harry Toffolo
510.0,116,111.73,4.269999999999996,Willian Borges da Silva
571.0,17,12.67,4.33,Ellis Simms
279.0,12,7.65,4.35,Ryan Fredericks
336.0,54,49.64,4.359999999999999,Neco Williams
44.0,44,39.57,4.43,Nathaniel Clyne
273.0,80,75.57,4.430000000000007,Diogo Jota
